datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,CANARANA,Amazonia,,,,-13.20807,-52.81479,58.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MUTUM,Cerrado,,,,-13.21486,-56.59167,12.5
2022/05/06 17:30:00,AQUA_M-T,Argentina,Corrientes,Mercedes,,,,,-29.14658,-57.8497,7.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAPEZAL,Cerrado,,,,-13.21746,-58.5989,15.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIO NEGRO,Cerrado,,,,-19.47582,-54.85255,9.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SORRISO,Cerrado,,,,-13.25381,-55.62395,12.2
2022/05/06 17:30:00,AQUA_M-T,Uruguay,Rivera,n.a16,,,,,-31.2457,-55.7748,21.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,,,,-13.25397,-53.86893,15.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,,,,-13.25593,-53.88105,15.6
2022/05/06 17:28:00,AQUA_M-T,Uruguay,Treinta y Tres,n.a1,,,,,-33.06575,-53.70493,4.4
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,,,,-13.2579,-53.87387,23.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,,,-12.08952,-54.46472,106.4
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIO NEGRO,Cerrado,,,,-19.49136,-54.84432,7.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Cerrado,,,,-13.32903,-57.44609,12.1
2022/05/06 17:28:00,AQUA_M-T,Uruguay,Lavalleja,n.a115,,,,,-33.33042,-54.31932,6.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,,,,-13.44857,-53.73553,21.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,RONDONIA,CABIXI,Amazonia,,,,-13.45976,-60.42897,7
2022/05/06 17:28:00,AQUA_M-T,Uruguay,Colonia,n.a461,,,,,-34.00399,-58.04014,15.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,RONDONIA,CABIXI,Amazonia,,,,-13.47816,-60.79958,10.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIO NEGRO,Cerrado,,,,-19.4928,-54.85388,6
2022/05/06 17:34:00,AQUA_M-T,Brasil,RONDONIA,CABIXI,Amazonia,,,,-13.47976,-60.81173,14.3
2022/05/06 17:28:00,AQUA_M-T,Uruguay,San Jose,n.a336,,,,,-34.47255,-56.85625,10.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,RONDONIA,CABIXI,Amazonia,,,,-13.52567,-60.84269,15.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Amazonia,,,,-13.52808,-53.65145,12.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,TABAPORA,Amazonia,,,,-11.44482,-56.39706,14.5
2022/05/06 17:28:00,AQUA_M-T,Argentina,Buenos Aires,Maipu,,,,,-36.81292,-57.54433,11.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,RONDONIA,CABIXI,Amazonia,,,,-13.5322,-60.83627,17.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,,,-12.09134,-54.47632,344.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado,,,,-20.11966,-54.07294,6.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.55883,-56.49127,17.1
2022/05/06 17:28:00,AQUA_M-T,Argentina,Buenos Aires,Necochea,,,,,-38.51449,-58.84134,51.4
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.56851,-56.49277,21.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.57616,-56.482,4.9
2022/05/06 17:28:00,AQUA_M-T,Argentina,Buenos Aires,Necochea,,,,,-38.52731,-58.83976,30.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.57755,-56.49134,21.4
